5;Place d'Italie;10:42;4
11;Porte des Lilas;6:17;5
7;La Courneuve - 8 Mai 1945;19:37;7
14;Bibliothèque François Mitterrand;20:00;5
14;Gare de Lyon;6:11;4
12;Mairie d'Issy;10:36;3
14;Bibliothèque François Mitterrand;7:18;5
5;Église de Pantin;17:31;2
9;Mairie de Montreuil;20:01;2
8;La Motte-Picquet - Grenelle;19:47;4
14;Châtelet;6:33;8
2;Nation;19:32;1
11;Place des Fêtes;18:25;2
12;Mairie d'Issy;16:48;3
8;Pointe du Lac;14:35;3
4;Montparnasse Bienvenue;22:10;3
10;Porte d'Auteuil;20:03;4
13;Carrefour Pleyel;13:01;5
8;Daumesnil;6:23;5
12;Porte de Versailles;18:30;4
5;Bobigny-Pantin - Raymond Queneau;6:40;3
3;Gambetta;11:30;2
11;Place des Fêtes;13:01;2
12;Mairie d'Aubervilliers;11:18;2
8;Balard;8:33;2
12;Porte de Versailles;7:42;4
11;Place des Fêtes;15:07;2
8;Lourmel;16:49;1
8;Pointe du Lac;17:19;3
2;Porte Dauphine;14:33;2
8;Lourmel;19:37;1
8;Balard;6:19;2
2;Charles de Gaulle - Etoile;19:23;8
2;Nation;12:47;1
5;Bobigny-Pantin - Raymond Queneau;6:31;3
12;Mairie d'Issy;14:45;3
9;Mairie de Montreuil;20:13;2
2;Porte Dauphine;12:19;2
3;Porte de Champerret;6:25;4
5;Église de Pantin;6:09;2
10;Porte d'Auteuil;9:27;2
2;Nation;11:14;1
2;Porte Dauphine;11:46;2
12;Porte de Versailles;20:21;4
10;Porte d'Auteuil;20:26;2
3;Porte de Champerret;6:43;4
8;Lourmel;16:04;1
4;Bagneux - Lucie Aubrac;7:11;2
8;Balard;9:28;2
7;La Courneuve - 8 Mai 1945;9:45;7
13;Carrefour Pleyel;13:13;5
4;Bagneux - Lucie Aubrac;16:15;2
3;Gambetta;13:49;2
3;Pont de Levallois - Bécon;16:23;3
8;Balard;13:47;2
5;Bobigny Pablo Picasso;18:46;1
10;Boulogne Pont de Saint-Cloud;11:34;3
8;La Motte-Picquet - Grenelle;12:52;4
12;Porte de Versailles;12:37;4
12;Porte de Versailles;17:14;4
5;Église de Pantin;20:49;2
12;Mairie d'Aubervilliers;18:42;2
12;Mairie d'Aubervilliers;20:56;2
11;Place des Fêtes;16:33;2
8;Pointe du Lac;15:14;3
13;Châtillon-Montrouge;8:38;4
12;Mairie d'Aubervilliers;19:47;2
8;Balard;11:39;2
12;Porte de Versailles;12:53;4
12;Mairie d'Aubervilliers;12:01;2
12;Mairie d'Aubervilliers;7:00;2
2;Charles de Gaulle - Etoile;17:40;8
12;Mairie d'Issy;16:28;3
2;Nation;11:06;1
8;Balard;19:37;2
9;Porte de Montreuil;13:35;3
5;Bobigny Pablo Picasso;21:06;1
5;Église de Pantin;7:31;2
5;Bobigny-Pantin - Raymond Queneau;8:20;3
11;Mairie des Lilas;7:13;1
9;Mairie de Montreuil;10:51;2
8;Balard;13:17;2
4;Bagneux - Lucie Aubrac;10:15;2
8;Balard;22:03;2
12;Porte de Versailles;20:18;4
10;Boulogne Pont de Saint-Cloud;18:08;3
4;Porte d'Orléans;10:16;5
11;Porte des Lilas;10:07;5
12;Mairie d'Aubervilliers;16:55;2
5;Bobigny Pablo Picasso;15:15;1
2;Belleville;22:18;7
2;Place de Clichy;20:33;3
4;Porte d'Orléans;21:13;5
10;Porte d'Auteuil;17:28;2
8;Balard;7:05;2
7;La Courneuve - 8 Mai 1945;12:20;7
6;Nation;17:05;1
10;Porte d'Auteuil;12:09;4
8;Pointe du Lac;15:39;3
12;Mairie d'Aubervilliers;18:25;2
3;Pont de Levallois - Bécon;17:46;3
5;Bobigny Pablo Picasso;9:12;1
10;Boulogne Pont de Saint-Cloud;13:31;3
10;Boulogne Pont de Saint-Cloud;15:08;3
8;La Motte-Picquet - Grenelle;6:00;4
8;Lourmel;7:05;1
12;Porte de Versailles;12:23;4
11;Mairie des Lilas;19:03;1
12;Mairie d'Aubervilliers;12:45;2
13;Carrefour Pleyel;10:30;5
12;Mairie d'Aubervilliers;17:53;2
2;Porte Dauphine;20:11;2
8;Balard;8:39;2
12;Mairie d'Aubervilliers;11:00;2
1;Château de Vincennes;7:27;2
3;Gallieni;8:59;1
12;Porte de Versailles;6:06;4
8;Lourmel;14:45;1
2;Belleville;7:18;7
7;La Courneuve - 8 Mai 1945;10:14;7
12;Porte de Versailles;9:44;4
12;Mairie d'Aubervilliers;10:43;2
10;Porte d'Auteuil;17:46;4
3;Porte de Champerret;21:48;4
11;Place des Fêtes;9:22;2
2;Jaurès;21:15;6
5;Bobigny Pablo Picasso;17:08;1
10;Porte d'Auteuil;12:27;2
12;Mairie d'Aubervilliers;20:03;2
2;Victor Hugo;13:07;4
12;Mairie d'Issy;15:10;3
9;Porte de Montreuil;19:28;3
8;Balard;18:31;2
5;Bobigny-Pantin - Raymond Queneau;6:21;3
12;Porte de Versailles;6:07;4
5;Église de Pantin;6:13;2
2;Jaurès;13:16;6
4;Porte d'Orléans;10:06;5
8;Lourmel;16:41;1
4;Montparnasse Bienvenue;8:04;3
5;Gare d'Austerlitz;18:18;6
5;Bobigny Pablo Picasso;12:19;1
2;Belleville;10:06;7
8;Daumesnil;14:53;5
12;Mairie d'Aubervilliers;10:19;2
14;Châtelet;6:31;8
10;Boulogne Pont de Saint-Cloud;12:17;3
4;Montparnasse Bienvenue;20:29;3
5;Bobigny-Pantin - Raymond Queneau;16:27;3
8;Pointe du Lac;9:57;3
9;Mairie de Montreuil;10:08;2
3;Gambetta;22:15;2
6;Nation;6:17;1
2;Porte Dauphine;17:28;2
2;Place de Clichy;18:37;3
12;Mairie d'Issy;16:38;3
12;Porte de Versailles;9:37;4
8;Lourmel;8:58;1
3;Gallieni;15:40;1
12;Mairie d'Issy;11:29;3
11;Mairie des Lilas;19:51;1
10;Porte d'Auteuil;6:08;2
5;Église de Pantin;18:55;2
3;Pont de Levallois - Bécon;7:32;3
12;Porte de Versailles;6:17;4
12;Porte de Versailles;8:09;4
8;Lourmel;18:07;1
5;Église de Pantin;18:56;2
5;Bobigny-Pantin - Raymond Queneau;20:46;3
12;Mairie d'Issy;20:06;3
8;Pointe du Lac;11:13;3
12;Mairie d'Issy;8:07;3
2;Charles de Gaulle - Etoile;6:26;8
12;Porte de Versailles;21:39;4
10;Porte d'Auteuil;7:36;2
8;La Motte-Picquet - Grenelle;15:39;4
13;Carrefour Pleyel;21:03;5
12;Mairie d'Aubervilliers;13:03;2
14;Gare de Lyon;19:55;4
2;Victor Hugo;19:05;4
14;Bercy;16:35;1
7;Villejuif - Louis Aragon;7:42;6
12;Mairie d'Issy;20:11;3
8;Balard;10:50;2
8;Balard;11:15;2
10;Boulogne Pont de Saint-Cloud;17:37;3
2;Charles de Gaulle - Etoile;8:57;8
5;Bobigny-Pantin - Raymond Queneau;10:03;3
6;Bercy;17:45;6
12;Mairie d'Aubervilliers;10:08;2
2;Belleville;14:03;7
2;Porte Dauphine;16:08;2
11;Porte des Lilas;20:29;5
5;Église de Pantin;10:08;2
8;Balard;13:32;2
12;Mairie d'Issy;20:39;3
8;La Motte-Picquet - Grenelle;19:03;4
12;Porte de Versailles;11:53;4
12;Mairie d'Issy;13:54;3
10;Porte d'Auteuil;13:42;2
2;Avron;11:57;5
12;Mairie d'Issy;6:48;3
6;Corvisart;6:20;4
10;Boulogne Pont de Saint-Cloud;9:28;3
12;Porte de Versailles;22:05;4
2;Victor Hugo;6:29;4
5;Église de Pantin;20:28;2
8;Lourmel;18:34;1
6;Bercy;14:20;6
5;Église de Pantin;18:54;2
9;Mairie de Montreuil;10:52;2
8;Lourmel;17:08;1
8;Daumesnil;16:22;5
8;La Motte-Picquet - Grenelle;11:21;4
8;Daumesnil;15:40;5
12;Mairie d'Aubervilliers;13:28;2
8;La Motte-Picquet - Grenelle;7:41;4
3;Gambetta;8:04;2
10;Gare d'Austerlitz;12:14;1
12;Mairie d'Aubervilliers;14:10;2
4;Bagneux - Lucie Aubrac;16:47;2
8;Lourmel;8:43;1
12;Porte de Versailles;12:04;4
2;Porte Dauphine;21:01;2
3;Gambetta;10:42;2
9;Mairie de Montreuil;17:32;2
12;Mairie d'Issy;16:58;3
12;Mairie d'Aubervilliers;12:42;2
14;Châtelet;6:14;8
2;Belleville;12:26;7
4;Montparnasse Bienvenue;9:02;3
12;Mairie d'Issy;6:22;3
5;Église de Pantin;10:50;2
12;Mairie d'Aubervilliers;6:38;2
5;Bobigny Pablo Picasso;9:46;1
8;Balard;18:42;2
5;Église de Pantin;16:43;2
2;Belleville;7:36;7
12;Mairie d'Issy;19:49;3
6;Bercy;10:44;6
8;Lourmel;17:13;1
3;Gallieni;14:41;1
12;Mairie d'Issy;16:02;3
13;Carrefour Pleyel;10:46;5
4;Bagneux - Lucie Aubrac;18:37;2
7;La Courneuve - 8 Mai 1945;18:09;4
12;Mairie d'Issy;12:47;3
